occid,catalognumber,family,sciname,cleanedname,eventdate,island,locality,decimalLatitude,decimallongitude,coordinateUncertaintyInMeters
48654,165194,Amastridae,Amastra micans,Amastra micans,1936-04-26,Oahu,Waianae Mountains; South Haleauau; Loc. 1 = W320H-1,21.496737,-158.132886,50
58545,177628,Amastridae,Amastra micans,Amastra micans,1936-06-24,Oahu,"Waianae Mountains; North Ekahanui; Tree Planters' Trail, south fork; Loc. 13 = W410 A-6",21.446176,-158.096162,75
47266,163184,Amastridae,Amastra micans,Amastra micans,1937-03-26,Oahu,Waianae Mts.; Haleauau; on trail to Kaala; along trail about 1/4 mile beyond firebreak trail; Loc. I. See map,21.49231667,-158.13115,
1284083,240753,Amastridae,Amastra frosti,Amastra micans,1939-03-01,Oahu,Makaleha Kaumokuni,21.566268,-158.160659,2500
73280,211463,Amastridae,Amastra micans,Amastra micans,1941-09-16,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. 2,21.4297222,-158.0369444,
73364,211547,Amastridae,Amastra micans,Amastra micans,1941-09-16,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. #3,21.439805,-158.091933,159
73451,211634,Amastridae,Amastra micans,Amastra micans,1941-09-16,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. #3,21.439805,-158.091933,159
73485,211668,Amastridae,Amastra micans,Amastra micans,1941-09-16,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. #4,21.44541666,-158.0930333,
73525,211708,Amastridae,Amastra micans,Amastra micans,1941-09-16,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. #4,21.44541666,-158.0930333,
63894,190807,Amastridae,Amastra micans,Amastra micans,1941-12-07,Oahu,Waianae Mountains; Mt. Kanehoa. SEE MAP,21.453741,-158.09554,150
64633,191542,Amastridae,Amastra micans,Amastra micans,1943-05-07,Oahu,Waianae Mountains; Kalena,21.48904,-158.13241,2
62892,188994,Amastridae,Amastra erecta,Amastra micans,1946-10-30,,"""Maui"" (sic); Oahu",21.46389,-157.95309,
88642,253681,Amastridae,Amastra micans,Amastra micans,1996-04-06,Oahu,Schofield Barracks Forest Reserve; SE corner; near Kolekole Pass,21.4755556,-158.1058333,
1383895,289408,Amastridae,Amastra micans,Amastra micans,2012-03-29,Oahu,"Puu Hapapa, midway between exclosure and HLS120329-01",21.46691667,-158.1026,7
1350915,540839,Amastridae,Amastra micans,Amastra micans,,Oahu,"Oahu, S Waianae Range, near Mount Ekahanui summit",21.4015,-158.0992,
